HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore
newcastle,saracens,18/19,1,21,32
exeter-chiefs,leicester,18/19,1,40,6
harlequins,sale,18/19,1,51,23
worcester,wasps,18/19,1,20,21
gloucester,northampton,18/19,1,27,16
bristol,bath,18/19,1,17,10
sale,worcester,18/19,2,21,15
bath,gloucester,18/19,2,31,31
leicester,newcastle,18/19,2,49,33
saracens,bristol,18/19,2,44,23
wasps,exeter-chiefs,18/19,2,31,42
northampton,harlequins,18/19,2,25,18
wasps,leicester,18/19,3,41,35
exeter-chiefs,sale,18/19,3,35,18
harlequins,bath,18/19,3,32,37
northampton,saracens,18/19,3,27,38
worcester,newcastle,18/19,3,20,23
gloucester,bristol,18/19,3,35,13
leicester,worcester,18/19,4,37,44
saracens,gloucester,18/19,4,38,15
bath,northampton,18/19,4,17,15
sale,wasps,18/19,4,13,31
newcastle,exeter-chiefs,18/19,4,17,24
leicester,sale,18/19,5,19,15
bristol,northampton,18/19,5,40,45
exeter-chiefs,worcester,18/19,5,28,11
gloucester,harlequins,18/19,5,25,27
saracens,bath,18/19,5,50,27
newcastle,wasps,18/19,5,22,23
worcester,bristol,18/19,6,52,7
harlequins,saracens,18/19,6,20,25
northampton,leicester,18/19,6,15,26
sale,newcastle,18/19,6,20,7
wasps,gloucester,18/19,6,21,35
bath,exeter-chiefs,18/19,6,24,39
bristol,exeter-chiefs,18/19,7,29,31
northampton,wasps,18/19,7,36,17
saracens,sale,18/19,7,31,25
bath,worcester,18/19,7,28,13
gloucester,leicester,18/19,7,36,15
harlequins,newcastle,18/19,7,20,7
leicester,saracens,18/19,8,22,27
exeter-chiefs,gloucester,18/19,8,23,6
sale,northampton,18/19,8,18,13
wasps,bristol,18/19,8,32,28
newcastle,bath,18/19,8,16,8
worcester,harlequins,18/19,8,20,13
bath,sale,18/19,9,7,7
gloucester,worcester,18/19,9,36,16
northampton,newcastle,18/19,9,14,16
saracens,wasps,18/19,9,29,6
bristol,leicester,18/19,9,41,10
harlequins,exeter-chiefs,18/19,9,28,26
newcastle,gloucester,18/19,10,17,20
wasps,bath,18/19,10,14,24
exeter-chiefs,saracens,18/19,10,31,13
leicester,harlequins,18/19,10,35,24
sale,bristol,18/19,10,27,10
worcester,northampton,18/19,10,6,32
bath,leicester,18/19,11,23,16
bristol,newcastle,18/19,11,35,28
harlequins,wasps,18/19,11,20,13
gloucester,sale,18/19,11,15,30
saracens,worcester,18/19,11,25,17
northampton,exeter-chiefs,18/19,11,31,28
wasps,northampton,18/19,12,27,16
exeter-chiefs,bristol,18/19,12,14,9
leicester,gloucester,18/19,12,34,16
newcastle,harlequins,18/19,12,17,38
worcester,bath,18/19,12,21,19
sale,saracens,18/19,12,24,18
bath,newcastle,18/19,13,30,13
harlequins,worcester,18/19,13,47,33
saracens,leicester,18/19,13,33,10
northampton,sale,18/19,13,67,17
bristol,wasps,18/19,13,22,29
gloucester,exeter-chiefs,18/19,13,24,17
worcester,leicester,18/19,14,17,13
northampton,bath,18/19,14,27,26
exeter-chiefs,newcastle,18/19,14,35,17
harlequins,bristol,18/19,14,36,26
wasps,sale,18/19,14,18,24
gloucester,sale,18/19,14,30,24
newcastle,worcester,18/19,15,17,6
bath,harlequins,18/19,15,29,31
leicester,wasps,18/19,15,19,14
sale,exeter-chiefs,18/19,15,14,20
saracens,northampton,18/19,15,36,17
bristol,gloucester,18/19,15,28,24
harlequins,gloucester,18/19,16,7,29
worcester,exeter-chiefs,18/19,16,30,33
northampton,bristol,18/19,16,24,26
wasps,newcastle,18/19,16,19,20
sale,leicester,18/19,16,32,5
bath,saracens,18/19,16,18,9
exeter-chiefs,bath,18/19,17,29,10
newcastle,sale,18/19,17,22,17
bristol,worcester,18/19,17,25,27
gloucester,wasps,18/19,17,27,14
saracens,harlequins,18/19,17,27,10
leicester,northampton,18/19,17,15,29
northampton,gloucester,18/19,18,31,40
leicester,exeter-chiefs,18/19,18,20,52
saracens,newcastle,18/19,18,26,12
wasps,worcester,18/19,18,28,16
bath,bristol,18/19,18,26,19
sale,harlequins,18/19,18,28,17
exeter-chiefs,wasps,18/19,19,19,26
bristol,saracens,18/19,19,23,21
gloucester,bath,18/19,19,27,23
harlequins,northampton,18/19,19,19,20
worcester,sale,18/19,19,39,17
newcastle,leicester,18/19,19,22,27
worcester,gloucester,18/19,20,27,20
wasps,saracens,18/19,20,14,31
leicester,bristol,18/19,20,20,23
exeter-chiefs,harlequins,18/19,20,17,15
newcastle,northampton,18/19,20,17,31
sale,bath,18/19,20,6,3
exeter-chiefs,wasps,18/19,21,29,17
bristol,saracens,18/19,21,28,19
gloucester,bath,18/19,21,38,10
harlequins,northampton,18/19,21,38,7
worcester,sale,18/19,21,20,20
newcastle,leicester,18/19,21,23,19
exeter-chiefs,northampton,18/19,22,40,21
leicester,bath,18/19,22,31,32
newcastle,bristol,18/19,22,12,19
sale,gloucester,18/19,22,46,41
wasps,harlequins,18/19,22,27,25
worcester,saracens,18/19,22,31,29
exeter-chiefs,northampton,18/19,SF,42,12
saracens,gloucester,18/19,SF,44,19
exeter-chiefs,saracens,18/19,F,34,37
wasps,london-irish,19/20,1,26,29
exeter-chiefs,harlequins,19/20,1,22,19
sale,gloucester,19/20,1,16,18
saracens,northampton,19/20,1,25,27
worcester,leicester,19/20,1,24,16
bristol,bath,19/20,1,43,16
leicester,saracens,19/20,2,10,24
gloucester,wasps,19/20,2,25,9
harlequins,bristol,19/20,2,22,17
london-irish,sale,19/20,2,7,41
northampton,worcester,19/20,2,35,16
bath,exeter-chiefs,19/20,2,13,10
worcester,exeter-chiefs,19/20,3,20,24
